timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency
1443559589674,131,Multiple DB update 500,502,Bad Gateway,Azure A1 2-198,text,false,346,151,151,http://azua1.test.itcrowd/updates?queries=500,131
1443559589687,130,Fortunes,502,Bad Gateway,Azure A1 2-202,text,false,346,152,152,http://azua1.test.itcrowd/fortunes,130
1443559589687,130,Multiple DB update 50,502,Bad Gateway,Azure A1 2-113,text,false,346,152,152,http://azua1.test.itcrowd/updates?queries=50,130
1443559589694,132,Multiple DB update 50,502,Bad Gateway,Azure A1 2-264,text,false,346,152,152,http://azua1.test.itcrowd/updates?queries=50,132
1443559589700,130,Fortunes,502,Bad Gateway,Azure A1 2-267,text,false,346,152,152,http://azua1.test.itcrowd/fortunes,130
1443559589726,129,Fortunes,502,Bad Gateway,Azure A1 2-205,text,false,346,152,152,http://azua1.test.itcrowd/fortunes,129
1443559589725,132,Multiple DB update 50,502,Bad Gateway,Azure A1 2-81,text,false,346,152,152,http://azua1.test.itcrowd/updates?queries=50,132
1443559589725,141,Multiple DB update 50,502,Bad Gateway,Azure A1 2-150,text,false,346,152,152,http://azua1.test.itcrowd/updates?queries=50,141
1443559589725,141,Multiple DB 5,502,Bad Gateway,Azure A1 2-271,text,false,346,152,152,http://azua1.test.itcrowd/db?queries=5,141
1443559589614,261,Hello json,502,Bad Gateway,Azure A1 2-274,text,false,346,152,152,http://azua1.test.itcrowd/json,261
1443559589764,129,Fortunes,502,Bad Gateway,Azure A1 2-204,text,false,346,152,152,http://azua1.test.itcrowd/fortunes,129
1443559589764,133,Multiple DB update 500,502,Bad Gateway,Azure A1 2-266,text,false,346,152,152,http://azua1.test.itcrowd/updates?queries=500,133
1443559589781,129,Multiple DB 500,502,Bad Gateway,Azure A1 2-269,text,false,346,153,153,http://azua1.test.itcrowd/db?queries=500,129
1443559589781,130,simple DB,502,Bad Gateway,Azure A1 2-273,text,false,346,153,153,http://azua1.test.itcrowd/db,130
